timestamp,open,high,low,close,volume
1764178260000,88709.59,88822.0,88655.51,88705.85,36.90906
1764178320000,88705.86,88719.11,88588.79,88700.06,31.02734
1764178380000,88700.05,88900.0,88696.04,88855.55,44.45361
1764178440000,88855.56,89019.96,88855.56,88988.01,126.85007
1764178500000,88988.01,89100.0,88979.99,89058.13,63.52789
1764178560000,89058.13,89100.0,88979.03,89085.99,56.56498
1764178620000,89086.0,89196.92,89021.55,89103.19,37.66888
1764178680000,89103.19,89134.89,89040.0,89090.0,33.93511
1764178740000,89088.13,89106.0,89039.65,89084.63,26.33766
1764178800000,89084.63,89150.0,89080.0,89109.16,19.95337
1764178860000,89109.17,89188.18,89109.17,89187.97,31.56706
1764178920000,89187.97,89426.56,89187.97,89415.45,107.32585
1764178980000,89415.45,89415.45,89268.0,89337.55,39.79916
1764179040000,89337.55,89513.0,89337.54,89512.99,47.90231
1764179100000,89512.99,89600.0,89492.81,89563.15,99.97107
1764179160000,89563.14,89666.66,89536.0,89666.65,46.85648
1764179220000,89666.65,89814.0,89655.99,89812.18,73.31429
1764179280000,89812.19,89889.0,89740.81,89876.01,87.96127
1764179340000,89876.01,89888.0,89758.36,89774.01,53.71642
1764179400000,89774.0,89774.0,89653.41,89687.97,78.87123
1764179460000,89687.97,89745.13,89675.28,89731.2,46.67433
1764179520000,89731.21,89776.69,89681.14,89696.86,39.65652
1764179580000,89696.86,89707.36,89515.62,89580.27,40.5382
1764179640000,89580.26,89707.94,89580.26,89665.93,34.80124
1764179700000,89665.92,89750.0,89620.76,89727.8,25.53383
1764179760000,89727.8,89860.0,89666.95,89831.93,36.33626
1764179820000,89831.93,89888.0,89831.93,89887.99,21.59941
1764179880000,89887.99,89962.9,89870.88,89950.7,66.19009
1764179940000,89950.7,89950.7,89818.95,89830.79,81.51659
1764180000000,89830.8,89963.57,89830.8,89927.23,47.83108
1764180060000,89927.24,89950.0,89839.83,89943.13,32.02083
1764180120000,89943.14,89967.79,89861.26,89908.56,25.46087
1764180180000,89908.56,89999.0,89866.14,89886.44,58.25736
