Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Datetime,,,,,
2025-11-21 03:45:00+00:00,1547.9000244140625,1548.699951171875,1540.4000244140625,1542.9000244140625,0
2025-11-21 03:50:00+00:00,1553.5,1554.5,1545.0999755859375,1547.0,434503
2025-11-21 03:55:00+00:00,1555.4000244140625,1556.300048828125,1553.0,1553.300048828125,365361
2025-11-21 04:00:00+00:00,1554.5999755859375,1557.699951171875,1554.5999755859375,1555.4000244140625,367629
2025-11-21 04:05:00+00:00,1551.800048828125,1555.0,1551.4000244140625,1554.699951171875,195899
2025-11-21 04:10:00+00:00,1550.800048828125,1553.0,1550.5,1552.0,113781
2025-11-21 04:15:00+00:00,1550.0999755859375,1552.4000244140625,1549.5,1550.800048828125,204099
2025-11-21 04:20:00+00:00,1548.199951171875,1551.4000244140625,1548.0,1550.300048828125,113459
2025-11-21 04:25:00+00:00,1550.5,1550.9000244140625,1547.0999755859375,1548.199951171875,150750
2025-11-21 04:30:00+00:00,1549.5,1551.0999755859375,1548.5999755859375,1550.5,128904
2025-11-21 04:35:00+00:00,1548.0,1550.0999755859375,1547.300048828125,1549.800048828125,128155
2025-11-21 04:40:00+00:00,1548.800048828125,1549.9000244140625,1547.699951171875,1548.199951171875,107166
2025-11-21 04:45:00+00:00,1546.800048828125,1548.9000244140625,1546.0999755859375,1548.800048828125,82835
2025-11-21 04:50:00+00:00,1548.0,1548.0,1546.0,1546.800048828125,83279
2025-11-21 04:55:00+00:00,1546.300048828125,1548.5,1546.0999755859375,1548.0,53642
2025-11-21 05:00:00+00:00,1546.9000244140625,1547.9000244140625,1545.5999755859375,1546.199951171875,83972
2025-11-21 05:05:00+00:00,1548.199951171875,1549.0999755859375,1546.5,1546.699951171875,74968
2025-11-21 05:10:00+00:00,1547.300048828125,1548.199951171875,1546.5999755859375,1548.199951171875,44745
2025-11-21 05:15:00+00:00,1548.0,1548.4000244140625,1547.199951171875,1547.4000244140625,66358
2025-11-21 05:20:00+00:00,1547.199951171875,1548.0,1546.199951171875,1548.0,75981
