timestamp,symbol,predicted_close,forecast_day,price_change,price_change_pct
2025-12-09 11:53:09.723685+00:00,RELIANCE.NS,1533.260017903644,1,-9.739982096356016,-0.6312366880334425
2025-12-10 11:53:09.723685+00:00,RELIANCE.NS,1531.0745635061535,2,-11.925436493846519,-0.7728733955830537
2025-12-11 11:53:09.723685+00:00,RELIANCE.NS,1528.889109108663,3,-14.110890891337021,-0.914510103132665
2025-12-12 11:53:09.723685+00:00,RELIANCE.NS,1526.7036547111725,4,-16.296345288827524,-1.0561468106822764
2025-12-13 11:53:09.723685+00:00,RELIANCE.NS,1524.5182003136817,5,-18.481799686318254,-1.1977835182319023
2025-12-14 11:53:09.723685+00:00,RELIANCE.NS,1522.3327459161912,6,-20.667254083808757,-1.3394202257815138
2025-12-15 11:53:09.723685+00:00,RELIANCE.NS,1520.1472915187007,7,-22.85270848129926,-1.4810569333311252
2025-12-09 11:53:10.167335+00:00,TCS.NS,3252.486686197918,1,15.986686197918061,0.49394982845413443
2025-12-10 11:53:10.167335+00:00,TCS.NS,3264.2479063091873,2,27.74790630918733,0.8573430035281114
2025-12-11 11:53:10.167335+00:00,TCS.NS,3276.009126420456,3,39.50912642045614,1.2207361786020745
2025-12-12 11:53:10.167335+00:00,TCS.NS,3287.7703465317254,4,51.27034653172541,1.5841293536760515
2025-12-13 11:53:10.167335+00:00,TCS.NS,3299.5315666429947,5,63.031566642994676,1.9475225287500286
2025-12-14 11:53:10.167335+00:00,TCS.NS,3311.2927867542635,6,74.79278675426349,2.3109157038239916
2025-12-15 11:53:10.167335+00:00,TCS.NS,3323.0540068655328,7,86.55400686553276,2.6743088788979685
2025-12-09 11:53:10.511574+00:00,HDFCBANK.NS,1002.619986979168,1,-0.47998860677205357,-0.04785052521725745
2025-12-10 11:53:10.511574+00:00,HDFCBANK.NS,1002.8018047910762,2,-0.2981707948638359,-0.02972493292003777
2025-12-11 11:53:10.511574+00:00,HDFCBANK.NS,1002.9836226029843,3,-0.11635298295573193,-0.01159934062282942
2025-12-12 11:53:10.511574+00:00,HDFCBANK.NS,1003.1654404148925,4,0.06546482895248573,0.0065262516743902635
2025-12-13 11:53:10.511574+00:00,HDFCBANK.NS,1003.3472582268007,5,0.2472826408607034,0.024651843971609945
2025-12-14 11:53:10.511574+00:00,HDFCBANK.NS,1003.5290760387088,6,0.42910045276880737,0.042777436268818296
2025-12-15 11:53:10.511574+00:00,HDFCBANK.NS,1003.710893850617,7,0.610918264677025,0.06090302856603798
2025-12-09 11:53:10.876276+00:00,INFY.NS,1625.0800618489518,1,14.280013020831802,0.8865167983587234
2025-12-10 11:53:10.876276+00:00,INFY.NS,1633.4886555989494,2,22.688606770829438,1.4085303006624392
2025-12-11 11:53:10.876276+00:00,INFY.NS,1641.8972493489473,3,31.0972005208273,1.9305438029661695
2025-12-12 11:53:10.876276+00:00,INFY.NS,1650.305843098945,4,39.505794270824936,2.4525573052698855
2025-12-13 11:53:10.876276+00:00,INFY.NS,1658.7144368489426,5,47.91438802082257,2.974570807573601
2025-12-14 11:53:10.876276+00:00,INFY.NS,1667.1230305989404,6,56.322981770820434,3.4965843098773313
2025-12-15 11:53:10.876276+00:00,INFY.NS,1675.531624348938,7,64.73157552081807,4.018597812181047
2025-12-09 11:53:11.314968+00:00,AAPL,281.7386678059894,1,2.958669026692405,1.0612917137698634
2025-12-10 11:53:11.314968+00:00,AAPL,281.5655158765386,2,2.785517097241609,0.9991811139388203
2025-12-11 11:53:11.314968+00:00,AAPL,281.3923639470878,3,2.612365167790813,0.9370705141077771
2025-12-12 11:53:11.314968+00:00,AAPL,281.21921201763706,4,2.4392132383400735,0.8749599142767542
2025-12-13 11:53:11.314968+00:00,AAPL,281.04606008818627,5,2.2660613088892774,0.8128493144457112
2025-12-14 11:53:11.314968+00:00,AAPL,280.87290815873547,6,2.092909379438481,0.750738714614668
2025-12-15 11:53:11.314968+00:00,AAPL,280.6997562292847,7,1.919757449987685,0.6886281147836247
2025-12-09 11:53:11.691422+00:00,GOOG,320.0874998304582,1,-2.002496507432795,-0.6217195598127365
2025-12-10 11:53:11.691422+00:00,GOOG,320.39633416069915,2,-1.693662177191868,-0.5258350760497134
2025-12-11 11:53:11.691422+00:00,GOOG,320.70516849094,3,-1.3848278469509978,-0.42995059228670773
2025-12-12 11:53:11.691422+00:00,GOOG,321.0140028211809,4,-1.0759935167101276,-0.3340661085237022
2025-12-13 11:53:11.691422+00:00,GOOG,321.32283715142177,5,-0.7671591864692573,-0.23818162476069668
2025-12-14 11:53:11.691422+00:00,GOOG,321.6316714816627,6,-0.4583248562283302,-0.1422971409976735
2025-12-15 11:53:11.691422+00:00,GOOG,321.94050581190356,7,-0.14949052598745993,-0.046412657234667955
